Location,Period,Life Expectancy,Birth Attended,Medical Doctor Available,Nurse and Midwife Available
Lesotho,2010,47.38,61.5,0.565,6.11
Liberia,2015,61.17,61.1,0.38,1.455
Liberia,2010,60.7,46.3,0.235,4.9225
Libya,2015,74.6,99.9,19.76,68.765
Libya,2010,76.04,99.1,16.79666667,57.63666667
Lithuania,2015,74.38,100,41.832,77.724
Lithuania,2010,73.14,100,33.675,76.659
Lithuania,2000,72.04,100,33.16,91.525
Luxembourg,2010,80.94,99.9,26.93166667,81.016
Madagascar,2015,64.19,44.3,1.5525,2.443333333
Madagascar,2010,62.79,43.9,1.704444444,2.883333333
Malawi,2019,65.62,89.8,0.17,3.69
Malawi,2010,56.8,62.5,0.2,4.053333333
Malaysia,2015,74.95,98.894,13.82,33.662
Malaysia,2010,74.25,98.03,9.313333333,25.55
Malaysia,2000,72.8,96.6,6.96,16.75
Maldives,2015,78.41,96.375,23.28,59.715
Maldives,2010,76.99,94.21428571,13.8525,44.4225
Mali,2019,62.8,67.3,1.4,3.86
Mali,2015,60.89,43.7,1.055,2.88
Mali,2010,59.05,49,0.8925,4.4375
Malta,2015,81.65,99.78,25.148,76.502
Malta,2010,80.45,99.66,28.16666667,58.464
Mauritania,2015,67.41,67.2,1.645,6.986666667
Mauritania,2010,65.59,57.1,1.316666667,7.083333333
Mauritius,2019,74.07,99.8,21.94,33.955
Mauritius,2015,74.14,99.7,16.816,31.47
Mauritius,2010,73.24,99.2,11.57,29.808
Mexico,2019,76.01,96.4,23.24,24.71333333
Mexico,2015,75.87,97.63333333,21.802,25.006
Mexico,2010,75.13,94.35,19.55333333,22.985
Micronesia (Federated States of),2010,62.67,87.51428571,4.8925,2.8575
Micronesia (Federated States of),2000,61.19,88,5.96,0.65
Mongolia,2019,68.1,99.3,28.59,39.35
Mongolia,2015,67.61,98.9,30.77,38.124
Mongolia,2010,65.05,99.275,27.6575,36.2875
Montenegro,2015,75.27,99,21.532,52.49
Montenegro,2010,74.69,98.84444444,19.798,54.405
Morocco,2015,72.46,73.6,7.73,9.585
Morocco,2010,71.6,74.1,5.883333333,8.69
Mozambique,2015,55.95,63.65,0.5125,5.556
Mozambique,2010,53.48,55.3,0.3675,3.424
Myanmar,2019,69.13,60.2,6.2,10.12666667
Myanmar,2010,64.79,67.25,4.408571429,8.211666667
Namibia,2010,60.94,81.4,3.5,30.435
Nepal,2015,69.43,45.8,5.4,18.69333333
Nepal,2010,69.18,18.7,2.12,4.65
New Zealand,2019,81.96,96.6,33.83,123
New Zealand,2015,81.31,96.62,32.264,114.26
New Zealand,2010,80.94,96.82,27.5175,97.85142857
Nicaragua,2019,75.04,95.5,9.54,15.17
Nicaragua,2015,74.62,89.16,8.798,13.636
Nicaragua,2010,74.05,73.85,5.692857143,12.09285714
Niger,2015,61.54,34.5,0.416666667,2.446666667
Niger,2010,58.95,17.7,0.233333333,1.86
Nigeria,2019,62.62,43.15,4.49,14.67
Nigeria,2015,61.16,41.25,3.83,10.26
Nigeria,2010,59.24,34.4,3.378333333,14.37714286
Norway,2019,82.62,99.16666667,26.98,181.2333333
Norway,2015,82.01,99.14,26.052,173.08
Norway,2010,80.87,99.13,23.12333333,144.4777778
Oman,2019,73.9,98.6,19.25,42.94
Oman,2015,72.52,98.875,20.476,45.08
Oman,2010,70.36,98.46666667,18.02571429,39.18428571
Oman,2000,69.07,96.8,10.17666667,27.89166667
Pakistan,2019,65.61,69.3,9.62,5.846666667
Pakistan,2015,64.18,48.7,8.78,4.656
Pakistan,2010,62.64,33.45,7.621428571,5.044
Panama,2019,79.29,93.9,15.69,30.49
Panama,2015,78.72,93.62,15.59333333,27.395
Panama,2010,77.53,92.24,13.337,20.61428571
Panama,2000,77.23,90.5,11.685,10.429
Papua New Guinea,2010,63.42,46,0.495,4.53
Paraguay,2015,75.56,96.175,12.77,7.22
Paraguay,2010,74.99,89.25,11.49,18.55
Peru,2019,79.9,92.8,13.05,22.76333333
Peru,2015,79.08,88.48,11.41,19.715
Peru,2010,77.28,81.9,13.06,24.475
Philippines,2010,69.96,62.2,12.165,45.71666667
Poland,2019,78.27,99.8,24.15,61.18
Poland,2015,77.29,99.8,22.57,58.2275
Poland,2010,76.25,99.62,22.184,55.858
Poland,2000,73.7,99.4,22.63,60.04
Portugal,2019,81.57,98.76666667,49.4,68.185
Portugal,2015,80.89,98.93333333,44.106,62.994
Qatar,2019,77.17,100,26.94,68.275
Qatar,2015,76.41,99.95,17.35,56
Qatar,2010,74.08,100,29.56,55.72
Republic of Korea,2015,82.2,99.9,21.47,52.856
Republic of Korea,2010,80.58,99.9,18.37,42.32166667
Republic of Moldova,2015,71.13,99.56,24.58,54.106
Republic of Moldova,2010,68.81,99.44,23.335,55.45
Republic of Moldova,2000,66.87,98,34.405,100.8190909
The former Yugoslav Republic of Macedonia,2015,73.73,97.74,27.925,40.845
The former Yugoslav Republic of Macedonia,2010,73.11,99.11,23.72,37.246
The former Yugoslav Republic of Macedonia,2000,71.11,97.7,22.27,35.63
Romania,2019,75.57,96,22.57,67.405
Romania,2015,74.82,98.1,25.76,59.60333333
Romania,2010,73.7,98.97777778,22.62,57.808
Romania,2000,71.39,99,18.42333333,8.871818182
Russian Federation,2015,71.3,99.7,39.9025,62.088
Russian Federation,2010,68.76,99.49,23.483,48.388
Russian Federation,2000,65.29,99.2,26.93090909,5.04
Rwanda,2015,67.69,90.7,0.7975,6.5875
Saint Lucia,2015,75.01,98.96666667,22.6625,15.7
Saint Lucia,2010,75.2,99.175,4.915,24.355
Saint Vincent and the Grenadines,2010,72.85,99.55,7.236666667,38.87
Saint Vincent and the Grenadines,2000,70.61,100,8.81,33.525
Samoa,2015,70.04,82.5,4.315,18.22
Samoa,2010,69.57,80.8,3.42,17.28333333
Samoa,2000,68.51,80,6.91,20.1
Sao Tome and Principe,2015,69.6,92.5,3.16,11.89
Sao Tome and Principe,2010,68.24,81.2,5.27,20.04
Saudi Arabia,2019,74.31,99.55,23.78,55.36666667
Saudi Arabia,2015,73.15,98,24.93,49.18666667
Saudi Arabia,2010,71.76,96.66666667,18.07,42.69666667
Saudi Arabia,2000,70.52,91,7.24,17.66
Senegal,2019,68.58,67.06666667,0.71,3.065
Senegal,2015,67.2,56.975,2.625,9.485
Senegal,2010,65.47,51.9,0.585,3.71
Serbia,2015,75.21,99.45,24.824,73.058
Serbia,2010,74.2,99.3,23.40375,8.95
Seychelles,2015,73.2,99,10.84,45.25
Seychelles,2010,73.01,99.33333333,10.58285714,49.74833333
Sierra Leone,2015,56.94,59.7,0.25,5.343333333
Sierra Leone,2010,54.74,47.73333333,0.226666667,3.036666667
Singapore,2019,83.22,99.53333333,22.94,62.055
Singapore,2015,82.81,99.66,18.57,55.854
Singapore,2010,81.7,99.7,15.90555556,49.29375
Singapore,2000,78.44,99.7,13.47,40.32
Slovakia,2019,78.23,98.3,34.66,31.93
Slovakia,2015,77.01,98.48,33.822,61.106
Slovakia,2010,75.47,99.432,32.781,66.339
Slovakia,2000,73.3,100,33.335,74.23
Slovenia,2015,80.47,99.85,26.482,84.808
Slovenia,2010,79.55,99.9,23.337,76.397
Slovenia,2000,76.05,99.9,21.67,33.11333333
Solomon Islands,2015,64.74,86.2,1.81,18.39
Solomon Islands,2010,63.69,86,1.666666667,16.60666667
Somalia,2010,51.98,17.1,0.28,0.9
South Africa,2019,65.25,96.7,8,13.2
South Africa,2010,57.14,94.3,7.148,20.499
Sri Lanka,2019,76.87,99.5,8.93,20.41666667
Sri Lanka,2010,73.3,98.6,5.76875,15.05111111
Sudan,2015,67.94,77.7,2.985,6.761
Sudan (until 2011),2010,66.56,60.85,3.1925,10.2
Suriname,2019,71.48,98.4,11.31,22.13
Suriname,2015,72.6,90,10.46,21.39666667
Suriname,2010,71.83,89.3,7.575,41.445
Syrian Arab Republic,2010,74.35,93.85,14.635,18.825
Tajikistan,2015,68.66,89.85,23.925,45.5525
Tajikistan,2010,68.01,84.19,19.095,36.445
Thailand,2019,77.7,99.1,4.45,28.29333333
Thailand,2015,77.41,99.6,4.65,23.68
Thailand,2010,76.25,98.15,3.14375,15.50125
Thailand,2000,71.25,99.3,2.586666667,9.128333333
Togo,2019,64.27,69.4,0.13,3.823333333
Togo,2015,61.92,44.6,0.49,2.08
Togo,2010,59.33,52.36666667,1.015,6.3325
Tonga,2015,72.33,95.5,5.4,40.08
Tonga,2010,72.22,97.16,4.728,36.002
Trinidad and Tobago,2015,74.61,99.975,22.345,33.8
